,Integral Bipartite OMD,Naive Bipartite LFU,Naive Bipartite OMD,Optimal Static Cache
279,0.8714285714285714,1.0,0.9035714285714286,0.8928571428571429
280,0.8718861209964412,1.0,0.9039145907473309,0.8932384341637011
281,0.8723404255319149,1.0,0.9042553191489362,0.8936170212765957
282,0.872791519434629,1.0,0.901060070671378,0.8939929328621908
283,0.8732394366197183,1.0,0.9014084507042254,0.8943661971830986
284,0.8701754385964913,1.0,0.9017543859649123,0.8947368421052632
285,0.8706293706293706,1.0,0.9020979020979021,0.8951048951048951
286,0.867595818815331,1.0,0.9024390243902439,0.89198606271777
287,0.8680555555555556,1.0,0.9027777777777778,0.8923611111111112
288,0.8685121107266436,1.0,0.903114186851211,0.8927335640138409
289,0.8689655172413793,1.0,0.9,0.8931034482758621
290,0.8694158075601375,1.0,0.9003436426116839,0.8934707903780069
291,0.8698630136986302,1.0,0.9006849315068494,0.8938356164383562
292,0.8703071672354948,1.0,0.9010238907849829,0.89419795221843
293,0.8707482993197279,1.0,0.9013605442176871,0.8945578231292517
294,0.8711864406779661,1.0,0.9016949152542373,0.8949152542372881
295,0.8682432432432432,1.0,0.902027027027027,0.8952702702702703
296,0.8686868686868687,1.0,0.9023569023569024,0.8956228956228957
297,0.8657718120805369,1.0,0.9026845637583892,0.8959731543624161
298,0.8662207357859532,1.0,0.903010033444816,0.8963210702341137
299,0.8666666666666667,1.0,0.9016666666666666,0.8933333333333333
300,0.867109634551495,1.0,0.9019933554817275,0.893687707641196
301,0.8675496688741722,1.0,0.902317880794702,0.8940397350993378
302,0.8679867986798679,1.0,0.9026402640264026,0.8943894389438944
303,0.868421052631579,1.0,0.9029605263157895,0.8947368421052632
304,0.8655737704918033,1.0,0.9032786885245901,0.8950819672131147
305,0.8660130718954249,1.0,0.9035947712418301,0.8954248366013072
306,0.8631921824104235,1.0,0.9039087947882736,0.8925081433224755
307,0.8636363636363636,1.0,0.9042207792207793,0.8928571428571429
308,0.8640776699029126,1.0,0.9045307443365695,0.8932038834951457
309,0.864516129032258,1.0,0.9048387096774193,0.8935483870967742
310,0.864951768488746,1.0,0.905144694533762,0.8938906752411575
311,0.8653846153846154,1.0,0.905448717948718,0.8942307692307693
312,0.865814696485623,1.0,0.902555910543131,0.8945686900958466
313,0.8662420382165605,1.0,0.9028662420382165,0.8949044585987261
314,0.8666666666666667,1.0,0.9031746031746032,0.8952380952380953
315,0.8639240506329114,1.0,0.9034810126582279,0.8955696202531646
316,0.8643533123028391,1.0,0.9037854889589906,0.8958990536277602
317,0.8647798742138365,1.0,0.9009433962264151,0.8962264150943396
318,0.8652037617554859,1.0,0.9012539184952978,0.896551724137931
319,0.865625,1.0,0.9015625,0.89375
320,0.8660436137071651,1.0,0.9003115264797508,0.8940809968847352
321,0.8664596273291926,1.0,0.9006211180124224,0.8944099378881988
322,0.8668730650154799,1.0,0.9009287925696594,0.8947368421052632
323,0.8672839506172839,1.0,0.9012345679012346,0.8950617283950617
324,0.8646153846153846,1.0,0.9015384615384615,0.8953846153846153
325,0.8650306748466258,1.0,0.901840490797546,0.8957055214723927
326,0.8654434250764526,1.0,0.9021406727828746,0.8929663608562691
327,0.8658536585365854,1.0,0.9024390243902439,0.8932926829268293
328,0.8662613981762918,1.0,0.8996960486322189,0.8936170212765957
329,0.8666666666666667,1.0,0.9,0.8939393939393939
330,0.8670694864048338,1.0,0.9003021148036254,0.8942598187311178
331,0.8674698795180723,1.0,0.8990963855421686,0.8945783132530121
332,0.8678678678678678,1.0,0.8993993993993994,0.8948948948948949
333,0.8682634730538922,1.0,0.8967065868263473,0.8952095808383234
334,0.8686567164179104,1.0,0.8970149253731343,0.8955223880597015
335,0.8660714285714286,1.0,0.8973214285714286,0.8958333333333334
336,0.8664688427299704,1.0,0.8976261127596439,0.8961424332344213
337,0.8668639053254438,1.0,0.8979289940828402,0.8964497041420119
338,0.8672566371681416,1.0,0.8967551622418879,0.8967551622418879
339,0.8676470588235294,1.0,0.8970588235294118,0.8941176470588236
340,0.8680351906158358,1.0,0.8973607038123167,0.8944281524926686
341,0.868421052631579,1.0,0.8976608187134503,0.8947368421052632
342,0.8688046647230321,1.0,0.8979591836734694,0.8950437317784257
343,0.8691860465116279,1.0,0.8982558139534884,0.8953488372093024
344,0.8666666666666667,1.0,0.8985507246376812,0.8956521739130435
345,0.8670520231213873,1.0,0.8988439306358381,0.8959537572254336
346,0.8674351585014409,1.0,0.899135446685879,0.8933717579250721
347,0.867816091954023,1.0,0.8994252873563219,0.8936781609195402
348,0.8681948424068768,1.0,0.8997134670487106,0.8939828080229226
349,0.8685714285714285,1.0,0.8985714285714286,0.8942857142857142
350,0.8689458689458689,1.0,0.8988603988603988,0.8945868945868946
351,0.8693181818181818,1.0,0.8991477272727273,0.8948863636363636
352,0.8696883852691218,1.0,0.8994334277620396,0.8951841359773371
353,0.8700564971751412,1.0,0.8968926553672316,0.8954802259887006
354,0.8704225352112676,1.0,0.8971830985915493,0.895774647887324
